Trial 0: RMSE=0.8446113954697837, Params={'max_depth': 5, 'learning_rate': 0.045121551610593835, 'n_estimators': 949, 'min_child_weight': 3, 'subsample': 0.6061486746153933, 'colsample_bytree': 0.5830585034029443, 'reg_alpha': 0.22089331260987755, 'reg_lambda': 0.6290242393253236, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 1: RMSE=4.823140306317145, Params={'max_depth': 5, 'learning_rate': 0.2843084936744051, 'n_estimators': 106, 'min_child_weight': 4, 'subsample': 0.9636951908346567, 'colsample_bytree': 0.6064091479184487, 'reg_alpha': 0.3673794822126293, 'reg_lambda': 0.800967413362678, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 2: RMSE=0.8207992055147355, Params={'max_depth': 20, 'learning_rate': 0.14690637965641398, 'n_estimators': 453, 'min_child_weight': 6, 'subsample': 0.5414990132999871, 'colsample_bytree': 0.5033731878227286, 'reg_alpha': 0.38842255789745417, 'reg_lambda': 0.7190120375739079, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 3: RMSE=0.7417542943025762, Params={'max_depth': 13, 'learning_rate': 0.2980912167968472, 'n_estimators': 870, 'min_child_weight': 9, 'subsample': 0.7558213600507754, 'colsample_bytree': 0.8399745256873924, 'reg_alpha': 0.06693233385361852, 'reg_lambda': 0.7161586327180572, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 4: RMSE=1.7783937575001798, Params={'max_depth': 8, 'learning_rate': 0.2908243766397966, 'n_estimators': 964, 'min_child_weight': 9, 'subsample': 0.964356586909353, 'colsample_bytree': 0.5143587869620022, 'reg_alpha': 0.5493409581991658, 'reg_lambda': 0.42503263099696487, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 5: RMSE=0.6888031217888771, Params={'max_depth': 16, 'learning_rate': 0.13147003343269756, 'n_estimators': 515, 'min_child_weight': 5, 'subsample': 0.9882396683879175, 'colsample_bytree': 0.9422691886482009, 'reg_alpha': 0.19856188385289453, 'reg_lambda': 0.8223301578695036, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 6: RMSE=0.8573324245313251, Params={'max_depth': 7, 'learning_rate': 0.07073490365893609, 'n_estimators': 177, 'min_child_weight': 4, 'subsample': 0.9962693636281821, 'colsample_bytree': 0.7118979283513178, 'reg_alpha': 0.24625066570607335, 'reg_lambda': 0.028698334304854578, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 7: RMSE=0.6777717535663406, Params={'max_depth': 15, 'learning_rate': 0.266022817723648, 'n_estimators': 248, 'min_child_weight': 10, 'subsample': 0.6137526279157868, 'colsample_bytree': 0.8766758631412438, 'reg_alpha': 0.6134745995981997, 'reg_lambda': 0.8440498705310828, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 8: RMSE=0.7695719558219545, Params={'max_depth': 6, 'learning_rate': 0.0630617709760055, 'n_estimators': 248, 'min_child_weight': 5, 'subsample': 0.7552540553067038, 'colsample_bytree': 0.6938297495080098, 'reg_alpha': 0.7534254917675065, 'reg_lambda': 0.22814961977643133, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 9: RMSE=0.812521062329303, Params={'max_depth': 19, 'learning_rate': 0.1565916040185276, 'n_estimators': 735, 'min_child_weight': 1, 'subsample': 0.7529465893945444, 'colsample_bytree': 0.5590174360557985, 'reg_alpha': 0.7254613428467789, 'reg_lambda': 0.9229663494770591, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 10: RMSE=0.9446182436148846, Params={'max_depth': 12, 'learning_rate': 0.22179365765448994, 'n_estimators': 323, 'min_child_weight': 10, 'subsample': 0.640379684654507, 'colsample_bytree': 0.9752409105981253, 'reg_alpha': 0.955379896695345, 'reg_lambda': 0.4838773764182821, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
