Trial 0: RMSE=29.023214919899818, Params={'max_depth': 13, 'learning_rate': 0.2262006812579645, 'n_estimators': 845, 'min_child_weight': 10, 'subsample': 0.8726272114868239, 'colsample_bytree': 0.5689440950918132, 'reg_alpha': 0.6975470844874233, 'reg_lambda': 0.4207889744295503, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 1: RMSE=29.64666054473943, Params={'max_depth': 16, 'learning_rate': 0.26301432208050307, 'n_estimators': 683, 'min_child_weight': 8, 'subsample': 0.9843424079746075, 'colsample_bytree': 0.6108226388824911, 'reg_alpha': 0.4925925348427217, 'reg_lambda': 0.6383531262851221, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 0: RMSE=0.7820969055375143, Params={'max_depth': 10, 'learning_rate': 0.02729030595915382, 'n_estimators': 240, 'min_child_weight': 3, 'subsample': 0.96456068363148, 'colsample_bytree': 0.9919467314726471, 'reg_alpha': 0.22235740125283054, 'reg_lambda': 0.1982810705693877, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 1: RMSE=0.8575993442767149, Params={'max_depth': 6, 'learning_rate': 0.18653223686182724, 'n_estimators': 228, 'min_child_weight': 10, 'subsample': 0.622047994917899, 'colsample_bytree': 0.7776045452163713, 'reg_alpha': 0.740698208497062, 'reg_lambda': 0.2640682611019336, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 2: RMSE=0.8711029011092498, Params={'max_depth': 13, 'learning_rate': 0.20180907848359508, 'n_estimators': 818, 'min_child_weight': 3, 'subsample': 0.7435332725709192, 'colsample_bytree': 0.9111524408375837, 'reg_alpha': 0.3718372845474258, 'reg_lambda': 0.92336187322217, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 3: RMSE=0.8604484178034072, Params={'max_depth': 17, 'learning_rate': 0.1314190376197562, 'n_estimators': 458, 'min_child_weight': 4, 'subsample': 0.9248721815032237, 'colsample_bytree': 0.5191594213604773, 'reg_alpha': 0.10314235550643891, 'reg_lambda': 0.06804903517746663, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 4: RMSE=0.8657990973987687, Params={'max_depth': 18, 'learning_rate': 0.11479292582476393, 'n_estimators': 436, 'min_child_weight': 10, 'subsample': 0.5340062541739964, 'colsample_bytree': 0.9005216716858013, 'reg_alpha': 0.32617726288813653, 'reg_lambda': 0.7189431136121136, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 5: RMSE=0.8550723771953366, Params={'max_depth': 17, 'learning_rate': 0.2484464424115609, 'n_estimators': 279, 'min_child_weight': 6, 'subsample': 0.9366961454270337, 'colsample_bytree': 0.9352638845176957, 'reg_alpha': 0.28098590530373824, 'reg_lambda': 0.8940695984644322, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 6: RMSE=0.8904562687866756, Params={'max_depth': 17, 'learning_rate': 0.15120015068315243, 'n_estimators': 375, 'min_child_weight': 3, 'subsample': 0.7699662671699523, 'colsample_bytree': 0.9651460503821373, 'reg_alpha': 0.10362474646325215, 'reg_lambda': 0.9159816962493831, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 7: RMSE=0.7972260978408263, Params={'max_depth': 10, 'learning_rate': 0.11025663817851371, 'n_estimators': 484, 'min_child_weight': 7, 'subsample': 0.6598982531200845, 'colsample_bytree': 0.5666858217879822, 'reg_alpha': 0.5365552166739719, 'reg_lambda': 0.32959804046362107, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
Trial 8: RMSE=0.8949620908672086, Params={'max_depth': 10, 'learning_rate': 0.27197992079440236, 'n_estimators': 303, 'min_child_weight': 2, 'subsample': 0.7124969723134786, 'colsample_bytree': 0.5738013874624952, 'reg_alpha': 0.2398946904576329, 'reg_lambda': 0.5059735216015854, 'objective': 'reg:squarederror', 'early_stopping_rounds': 50, 'max_bin': 1023, 'enable_categorical': True, 'eval_metric': 'rmse'}
